sentence,label,idx
Happy Lunar New Year!! #KungHeiFatChoi #YearOfThePig 🐷 #TwinningWithTheCNE 💃🏻💃🏻  @WillieMManzano https://t.co/xWMAwYhzQP,1,80

Looking for great #gift #card #deals for #birthdays and #holidays? GET 10% OFF w/code “giftcard10” at #Boston #Segway #Tours 🎉https://t.co/2dXQQTbGBH @ Boston Segway Tours https://t.co/XqSeOwFjni,1,81

Looking for great #gift #card #deals for #birthdays and #holidays? GET 10% OFF w/code “giftcard10” at #Boston #Segway #Tours 🎉https://t.co/2dXQQTthtf @ Boston Segway Tours https://t.co/lcLivfOkI5,1,82

Looking for great #gift #card #deals for #birthdays and #holidays? GET 10% OFF w/code “giftcard10” at #Boston #Segway #Tours 🎉https://t.co/2dXQQTthtf @ Boston Segway Tours https://t.co/h1Y4aycsTc,1,83

Looking for great #gift #card #deals for #birthdays and #holidays? GET 10% OFF w/code “giftcard10” at #Boston #Segway #Tours 🎉https://t.co/2dXQQTthtf @ Boston Segway Tours https://t.co/7vP6SDhqeB,1,84

Looking for great #gift #card #deals for #birthdays and #holidays? GET 10% OFF w/code “giftcard10” at #Boston #Segway #Tours 🎉https://t.co/2dXQQTthtf @ Boston Segway Tours https://t.co/47Tk7Anwpa,1,85

"Happy Lunar New Year, everyone!!! Best wishes for excellent health and an abundance of happiness throughout 2019! https://t.co/nM3zum2VvN",1,86

"Lunar New Year Celebration at work! @ New York, New York https://t.co/sYa0esH8Sd",1,87

"@SusanLiTV @HudsonInstitute @realDonaldTrump Very Cool, Happy New Year 🇨🇳 🇨🇦 🇬🇧 🇺🇸 @FoxBusiness @SusanLiTV @Varneyco",1,88

Happy New Year https://t.co/rbneh7Kvoa,1,89

Happy Lunar New Year! Rexy is sending home a little something for the kindergarteners tomorrow! #trsgrk #redenvelope https://t.co/UawUu5LOky,1,90

"Peter Wang, 15 - Peter was a Chinese-American student who was in the school's ROTC program and was planning on celebrating the Chinese New Year at his family's restaurant the week he died. He was killed while holding the door for other students to hide. https://t.co/GWpO81v1Xr",1,91

"Join us this Saturday (Feb. 16 2pm-6pm) for @SantaMonicaPlc's #LunarNewYear celebration that promises to be a fun, family-friendly day packed with a host of cultural activities. Learn more: https://t.co/FE0fSZVLi9",1,92

"BHMS culture club was celebrating the Chinese new year a little bit delayed due to the snow days! Thanks to our guest presenter, Mrs. Lane, for gifting students with knowledge, egg rolls, fortune cookies, and a special red envelope. Happy year of the pig! https://t.co/CpH9mUJ94F",1,93

#HappyGalentinesDay! #HappyValentinesDay  What's in your glass? #WIYG Sparkling #Wine of course! Toast with these @lavieilleferme @RotariUSA https://t.co/FGJ4YRkHFn via @artpredator,1,94

Honored to attend the Chinese New Year Gala of the @BayAreaCouncil along with @usfca alumnus @LondonBreed! https://t.co/cIWss3f1U8,1,95

@Josiahjamess More red flags then Chinese New Year,1,96

Celebrating diversity and @nyphospital commitment to the Lower Manhattan Community. Another great Chinese Lunar New Year celebration in the books! #yearofthepig 🐷 https://t.co/mfhvhckPw9,1,97

"Exciting Valentine’s Day plans?
• Boutique Lifestyle Parties •
Lunar New Year Party Mar 2 LA
DJ Illest Rich
Tape Artist Johnny Mack 
Goodie bags @llvclub •
Gwen@Gwenslist.com
#la #adult  #party #partytime #thingstodoinla #losangeles @illest_rich @SexPartylists https://t.co/VWLUiHXl7f",1,98

"Celebrating Vietnamese Lunar New Year Xuân Tiếu Vương Hội Event on Saturday, Feb 05, 2019 at the Tulalip Resort Casino. https://t.co/HiIAjMOMzg",1,99

MCGOP celebrates Lunar New Year! https://t.co/PZAua7zGQP,1,100

"@magnoliagatlin Grizzlies jerseys are really tough. China never gets them right. If you do, go with white jersey. Never do baby blue. It's so bad. The other problem is Chinese New Year just ended so all factories are backed up at least 2 weeks. That being said, dhgate is good",1,101

Thank you Leilah for sharing with us &amp; teaching us about Chinese New Year and the customs &amp; traditions!🌟🏮🎏🐖#HappyYearOfThePig https://t.co/sGLGuSEoNV,1,102

"MGM disappointed a bit on its conf call today, highlighting weaker Chinese New Year revs and global uncertainty (ie, trade spat), so news that progress is being made on a trade deal could mitigate share price decline. https://t.co/FQZkLVZhFe",1,103

"I'm running to win @Foscam R2E ip camera, come to join with me #win #giveaway #competition #freestuff https://t.co/bdLyJNKlgx",1,104

Hit up #Disneyland Lunar New Year again today.  Ate lots.  Planned on taking nice fancy pictures of the food but i was starving and forgot.  Next time.  Hope you all had a great day.,1,105

"So what does one do if they have no valentine, Happpy Valentines day everyone!!! Love us, God is love, happy new year blessings and love!!!",1,106

Happy Lunar New Year with our friends from #Taiwan and the #Taipei trade office in #Atlanta. Also celebration of 40th anniversary #sistercity relationship of Taipei &amp; Atlanta. #YearOfThePig #GrowTaipei #GrowAtlanta @atlchamber https://t.co/AaAJrOwzBv https://t.co/wjloXBPYhZ,1,107

"Valentine’s Day vid, Pitching love catching faith!! I love it, its simple, freeing, no pun intended and originally romantic. I love how.  They solve their problems. Love us, God is love, happy.  New year blessings and love!!!",1,108

"Back from Chinese New Year holiday!🥳
#NEWYEAR #Qualisports #Ebike #iBike #Cyclist #Cycling #Bicycle #LoveCycling #Electric #Commute #Transportation #Ebikemagazine https://t.co/Nyfncyc99B",1,109

"Happy New Year!!
Back in Downtown 
February 14
FILIPINO Thursday’s in Downtown Honolulu.
Central Pacific Plaza
King &amp; Alakea
10:30-1:30pm @ Central Pacific Bank https://t.co/uKSDwvqRKp",1,110

February 14 #holidays https://t.co/DNUxgOmqlp,1,111

"I'm super late but Chuc Mung Nam Moi! Happy Lunar New year from one bad Buddhist to any other. 😘 #Instagay #Gaysian #LunarNewYear #GetReady #BadBuddhist @ Philadelphia, Pennsylvania https://t.co/CYmcMKhKyw",1,112

"chinese new year is finally over!! what bundles, closures/frontals would you guys like for me to order?? 💓💓💓 #UWG",1,113

"🚁 F e l i z    C u m p l e ✨ a.arcosh  amigo que tengas un gran día, te queremos mucho... 👊🏻🙌🏼😚🎂
.
.
.
#holidays #birthday #tbt #happybirthday #instamoment #trip #blessed #friends… https://t.co/9u9CYV1oSM",1,114

Just entered to win a @Kahikifoods Chinese New Year LootBox! So crazy! I want it to be mine! #kahiki https://t.co/SO6e9HqzW1,1,115

"Good Morning! Spread #love today! 

#loveyourself #loveislove #lovegoodfood #Tulsa  #oklahoma #catering #foodpics #blogger #holidays @ Tulsa, Oklahoma https://t.co/IwzQQf2eEI",1,116

HAPPY NEW YEAR 2019 NEW YORK LIBERTY! LET’S GO NEW YORK LIBERTY! https://t.co/dMWd3R8bYS,1,117

Looking for great #gift #card #deals for #birthdays and #holidays? GET 10% OFF w/code “giftcard10” at #Boston #Segway #Tours 🎉https://t.co/2dXQQTbGBH @ Boston Segway Tours https://t.co/H2dWXnforN,1,118

Looking for great #gift #card #deals for #birthdays and #holidays? GET 10% OFF w/code “giftcard10” at #Boston #Segway #Tours 🎉https://t.co/2dXQQTthtf @ Boston Segway Tours https://t.co/ja0yS7sq9w,1,119

HAPPY NEW YEAR 2019 NEW YORK YANKEES! LET’S GO NEW YORK YANKEES! https://t.co/KpbhwfnRYg,1,120

Looking for great #gift #card #deals for #birthdays and #holidays? GET 10% OFF w/code “giftcard10” at #Boston #Segway #Tours 🎉https://t.co/2dXQQTbGBH @ Boston Segway Tours https://t.co/wjhyg5HAug,1,121

Looking for great #gift #card #deals for #birthdays and #holidays? GET 10% OFF w/code “giftcard10” at #Boston #Segway #Tours 🎉https://t.co/2dXQQTthtf @ Boston Segway Tours https://t.co/j6x6FRLXMB,1,122

Looking for great #gift #card #deals for #birthdays and #holidays? GET 10% OFF w/code “giftcard10” at #Boston #Segway #Tours 🎉https://t.co/2dXQQTbGBH @ Boston Segway Tours https://t.co/ncMA0jX3cO,1,123

Looking for great #gift #card #deals for #birthdays and #holidays? GET 10% OFF w/code “giftcard10” at #Boston #Segway #Tours 🎉https://t.co/2dXQQTbGBH @ Boston Segway Tours https://t.co/pZZq3k0k4N,1,124

Looking for great #gift #card #deals for #birthdays and #holidays? GET 10% OFF w/code “giftcard10” at #Boston #Segway #Tours 🎉https://t.co/2dXQQTthtf @ Boston Segway Tours https://t.co/PW01D1T0lo,1,125

Looking for great #gift #card #deals for #birthdays and #holidays? GET 10% OFF w/code “giftcard10” at #Boston #Segway #Tours 🎉https://t.co/2dXQQTthtf @ Boston Segway Tours https://t.co/oGirFwbZL8,1,126

I’ve run into an acquaintance maybe 30 times in the new year and every single time they forget they’ve seen me and wish me a happy new year again and it’s awkward.,1,127

Looking for great #gift #card #deals for #birthdays and #holidays? GET 10% OFF w/code “giftcard10” at #Boston #Segway #Tours 🎉https://t.co/2dXQQTbGBH @ Boston Segway Tours https://t.co/yqIWCqMtul,1,128

Looking for great #gift #card #deals for #birthdays and #holidays? GET 10% OFF w/code “giftcard10” at #Boston #Segway #Tours 🎉https://t.co/2dXQQTbGBH @ Boston Segway Tours https://t.co/XMBVyXeYIP,1,129

Looking for great #gift #card #deals for #birthdays and #holidays? GET 10% OFF w/code “giftcard10” at #Boston #Segway #Tours 🎉https://t.co/2dXQQTthtf @ Boston Segway Tours https://t.co/kn8uSv6cir,1,130

Looking for great #gift #card #deals for #birthdays and #holidays? GET 10% OFF w/code “giftcard10” at #Boston #Segway #Tours 🎉https://t.co/2dXQQTthtf @ Boston Segway Tours https://t.co/HoaLLgmN0O,1,131

Looking for great #gift #card #deals for #birthdays and #holidays? GET 10% OFF w/code “giftcard10” at #Boston #Segway #Tours 🎉https://t.co/2dXQQTthtf @ Boston Segway Tours https://t.co/Tnt4UpiUt6,1,132

Looking for great #gift #card #deals for #birthdays and #holidays? GET 10% OFF w/code “giftcard10” at #Boston #Segway #Tours 🎉https://t.co/2dXQQTthtf @ Boston Segway Tours https://t.co/vnWqrepaSw,1,133

Looking for great #gift #card #deals for #birthdays and #holidays? GET 10% OFF w/code “giftcard10” at #Boston #Segway #Tours 🎉https://t.co/2dXQQTthtf @ Boston Segway Tours https://t.co/9QHR1JQ4Fi,1,134

seems like someone got lucky during the lunar New year https://t.co/5CEvEkBWlx,1,135

Lunar festival. Chinese New Year. @Atlanta @chinesenewyear https://t.co/kKNnVSPqUn,1,136

"Perhaps a too simplistic take on a complicated set of financial challenges for the Chinese consumer—China’s command-and-control approach is killing private investment and stunting consumer spending, writes @choyleva https://t.co/SCQRVsIjYV via @WSJOpinion",1,137

Y’all all these messages and texts and vegan cupcakes are gonna make me cry make it stop 🥺😢 ily happy new year to all the February 14 babies 💕,1,138

"Happy New Year!!!  

Today our students &amp; staff will kick off the Chinese New Year, The Year of the Pig, with a celebration and performances in their Mandarin classrooms. https://t.co/OOegjeo9xZ",1,139

"@trilltiffanne Similar to Happy New Year &gt;&gt; Happy New Years... well because EVERY year from now until eternity is a new year, so ALL must be mentioned... 😑😂😂😂",1,140

"Gerry, I know I’m late, but Happy New Year to you and your whole family. https://t.co/eCaajzI65y",1,141

Magic Kingdom #disneyworld #orlando #florida #eeuu #usa #todoelveranovendiendohorchataparaesto #holidays #vacaciones #disney #parquetematico #turista #turismo #tourist #viajar #viajero… https://t.co/4n8wRszw4S,1,142

Lunar new year celebration at city hall @NENPODPD https://t.co/g6Lc7Rp5IQ,1,143

"Just a few more days left to enjoy the Lunar New Year celebration at @Disneyland! Check out this blog post   where myself and 3 other #disneymoms share our favorite activities from the event! #lunarnewyear 
https://t.co/9gH3sJFnXD @Disney_Family",1,144

@tedlieu Happy New Year!🤗,1,145

"What a happy day @kujawaeagle Muffins with Mom, @Scholastic bookfair and @PandaExpress celebrating Chinese New Year and a teacher birthday. https://t.co/RTi9YXOBbb",1,146

Today we celebrate Chinese New Year 🐷 ! Lion Dance? ☑️ Dragon 🐉 Dance? ☑️ Umbrella ☂ Dance? ☑️ https://t.co/0MZkvYZGt6,1,147

@PandaExpress so fun to learn about Chinese New Year! https://t.co/xKILsy7ODu,1,148

"God is love, happy new year blessings and love!!! https://t.co/rpozZIc6Bu",1,149

"@travisbhill5 I would say, uncool if it was but it’s ot because #comics is the way we thrive. Live to love!!! God is love, happy new year blessings and love!!!",1,150

"MERRY LUNAR NEW YEAR!!! 
⛩🐷⛩🐷⛩🐷⛩🐷⛩🐷⛩
YEAR OF THE PIG!!
#GrubTubTony 🍴🛁
#GrubTub #foodie #food #foodporn #foodphotography #foods #foodstagram #foodblogger #blogger #foodpics #foodgasm… https://t.co/bBcehMUmVD",1,151

"HAPPY VALENTINE'S DAY!!!

#valentinesday #love #terriblyalone #holidays #rainy #best @ Los Angeles, California https://t.co/4dss03maba",1,152

"When it comes to Valentine’s Day, Korea sees your single holiday and raises you two. Korea Loves Love Holidays  https://t.co/vGcB6swZaa  #korea #valentinesday #holidays #love",1,153

"Happy Valentine’s Day❤️❤️❤️ #Valentines #Day is one of my FAVORITE #holidays because it’s all about #Love 😍 Love for yourself, family, friends, and of course that special… https://t.co/xi4j8M1Hnw",1,154

"Today on increasing with God, holy is the Lord our God and wonderful is his name!!! God is love, Happy new year blessings and love!!!",1,155

Chinese New Year Premium Night Dinner https://t.co/HD8tXewSax,1,156

Great Lunar New Year celebration at @VTA. Well done! #IamVTA https://t.co/gZIUZmuSHC,1,157

https://t.co/HED1hCUK0Q.  Love this post!  I am soooo jealous!!! @WKUSocialWork,1,158

"Celebrate Lunar New Year with @Dromm25 on Saturday, February 16, 2019 from 11am to 3pm https://t.co/WS9V0e2wj3",1,159

#happy #vietnamese #chinese #lunar #new #year of the #pig my #incredible #son #thank #god #wife #thankyou #family #friends #nurses #doctors #grateful for all the #prayers #everybody #lucky… https://t.co/osM7vG1m9L,1,160

"Re-imagining Holiday Habits for a More Sustainable Future

👉 https://t.co/hQGqUL7WvF

Article by @JDTennille via @impakterdotcom 

#Sustainability #Holidays",1,161

We celebrated Lunar New Year. 🎶🎎 https://t.co/PoLfIrkmkv,1,162

"Ooooooh Saints, the blood of Jesus. Can we say fed up?!!! The enemy has no respect for bearing, yet God said he would give them miscarrying wombs!!! And over to strange delusions. God is love, happy new year blessings and love!!!",1,163

"#ATU
#Free99
#AllLove
#TraumaWeek

Well....... sometimes you poke the bear and sometimes the bear pokes you... or whatever that means lol 😂 thank y’all for having me!!!

Happy new year and love y’all https://t.co/kMcIVXuVYR",1,164

"Holidays, where you can find us procrastinators in the card aisle. #Holidays #Valentines2019",1,165

Robin had dinner with a few friends for Lunar New Year! https://t.co/5T37YDuu7M,1,166

Double duty... happy Valentine’s Day! #valentinesday2019 #Holidays #BTTRBooths #Convention  #Weddings #BarMitzvah #BatMitzvah #Orlando #CharityEvents #ChildrensParty #Proms… https://t.co/8BPEtGtuIi,1,167

"Happy Valentine's Day😍💗😍
#love #heart #hearts #ValentinesDay #valentine #ValentineDay #ValentinesDay2019 #Valentines #family #famous #Trending #Art #artist #paint #painting #viral #holiday #holidays #LoversDay #HappyValentinesDay #HappyValentinesDay2019 #HappyValentines #happy https://t.co/i6cwrVppHx",1,168

Happy new year!  2019 https://t.co/xyvmTyPHRY,1,169

